Date,Observer,Route,Point ,Start_Time,Species,M0_1,M1_2,M2_3,M3_4,M4_5,D30,D30_60,D60_90,D90,FlyOver,Habitat,TSBurn,Noise,Temp,CloudCvr,Wind,Rain,Comments
8/21/2018,MMW,C,82,0635,AMCR,1,1,1,,,,,,1,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,MMW,C,82,0635,WBNU,1,,,,,,,,1,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,MMW,C,82,0635,EABL,1,,1,,,,,1,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,MMW,C,82,0635,AMCR,,1,1,,,,,,1,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,MMW,C,82,0635,PIWA,,1,1,,,,1,,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,MMW,C,82,0635,CARW,,,,1,,,,1,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,MMW,C,82,0635,BGGN,,,,1,1,,1,,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,MMW,C,82,0635,WBNU,,,,1,1,1,,,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,MMW,C,82,0635,EATO,,,,,1,,1,,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
,,,,,,,,,,,,,,,,,,,,,,,
8/21/2018,SMC,C,82,0635,AMCR,1,1,,,,,,1,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,SMC,C,82,0635,WBNU,1,,,1,,,1,,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,SMC,C,82,0635,NOCA,,1,,,,,,,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,no distance written
8/21/2018,SMC,C,82,0635,CARW,,,1,,,,1,,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
8/21/2018,SMC,C,82,0635,EATO,,,,,1,,,1,,,upland savanna,>2 years since burn,"minor insect noise, crickets",77,70,0,0,
